Title,Episodes,ImdbRating,Year,Countries,OriginalLanguage,Overview
Alessandro Cattelan: One Simple Question,6,65,2022,['IT'],it,Alessandro Cattelan searches for happiness through interviews and unique experiences with celebrity guests like Paolo Sorrentino and Roberto Baggio.
Alexa & Katie,39,74,2018,['US'],en,Lifelong best friends Alexa and Katie are eagerly anticipating the start of their freshman year of high school. The pals confront a crisis that leaves them feeling like outsiders at a time when what seems to matter most is fitting in.
Someone Has to Die,3,63,2020,"['MX', 'ES']",es,"In 1950s Spain, a couple summon their son home from Mexico to introduce him to his fiancée, but are shocked when he returns with a ballerino."
Alias Grace,6,77,2017,['CA'],en,"Based on the true story of Grace Marks, a housemaid and immigrant from Ireland who was imprisoned in 1843, perhaps wrongly, for the murder of her employer Thomas Kinnear. Grace claims to have no memory of the murder yet the facts are irrefutable. A decade after, Dr. Simon Jordan tries to help Grace recall her past."
Surviving Escobar - Alias JJ,69,77,2017,['CO'],es,"As the Medellín Cartel crumbles, Pablo Escobar's No. 1 hit man struggles to stay alive and gain respect in the prison hierarchy."
Alien TV,26,61,2020,['AU'],en,"Alien reporters Ixbee, Pixbee and Squee travel to a lovely but odd planet called Earth, where they attempt to make sense of humans and their hobbies."
Alien Worlds,4,65,2020,['GB'],en,"Applying the laws of life on Earth to the rest of the galaxy, this series blends science fact and fiction to imagine alien life on other planets."
All About the Washingtons,10,46,2018,['US'],en,"The wife of a legendary rapper launches her own career, which puts his life into a tailspin."
All American,72,75,2018,['US'],en,"When a rising high school football player from South Central L.A. is recruited to play for Beverly Hills High, the wins, losses and struggles of two families from vastly different worlds - Compton and Beverly Hills - begin to collide. Inspired by the life of pro football player Spencer Paysinger."
All American: Homecoming,14,55,2022,['US'],en,Follows a young tennis hopeful from Beverly Hills and an elite baseball player from Chicago as they contend with the high stakes of college sports.
All Hail King Julien,65,71,2014,['US'],en,"King Julien is back and shaking his booty harder than ever! Discover the wild world of Madagascar as the king takes on the jungle’s craziest adventures in this comedy series. With his loyal sidekicks Maurice and Mort, they meet a whole new cast of colorful animals, including ambitious head of security Clover and the villainous Foosa. No one can stop this king from ruling with an iron fist...in the air...wavin' like he just doesn't care."
All Hail King Julien: Exiled,13,74,2017,['US'],en,"Julien's been dethroned, but loyal friends and some very unlikely allies will propel the lovable lemur on a colorful journey to take back his kingdom."
All That,179,75,1994,['US'],en,"The new kids of comedy bring the funny as All That, America’s #1 kid’s sketch comedy show, returns with a new cast and a few familiar faces. From Executive Producers Kenan Thompson and Kel Mitchell."
Alma Matters: Inside the IIT Dream,3,83,2021,['IN'],hi,"In a ""nation of middle-class"" the IIT dream involves clearing the world's toughest public exam for guaranteed lifelong success. Life is not an exam though. It's a hustle, one that nobody trains them for. The result? Eternal tumult."
High Seas,22,68,2019,['ES'],es,Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.
Altered Carbon,18,79,2018,['US'],en,"After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder."
Old Money,8,73,2015,['AT'],de,"A family, blessed with richness and power, is desperately seeking for a liver for their father, who wants to hand down his wealth to the one who gets the organ."
All For Love,69,70,2020,['CO'],es,"A penniless country boy goes in search of his runaway sister in Bogotá, where he falls for an aspiring singer, but gets tangled up in organized crime."
Amazing Interiors,12,66,2018,[],en,"Meet eccentric homeowners whose seemingly ordinary spaces are full of surprises, from a backyard roller coaster to an indoor aquarium."
Amend: The Fight for America,6,77,2021,['US'],en,"When the United States of America was founded, the ideals of freedom and equality did not apply to all people. These are the stories of the brave Americans who fought to right the nation’s wrongs and enshrine the values we hold most dear into the Constitution — with liberty and justice for all."
America's Next Top Model,311,56,2003,['US'],en,Aspiring models compete for a chance to break into the business with a panel of judges critiquing their progress throughout the competition.
American Vandal,16,81,2017,['US'],en,A true-crime satire that explores the aftermath of a costly high school prank that left twenty-seven faculty cars vandalized with phallic images.
Love Never Lies,7,57,2021,['ES'],es,"Six couples are subjected to an eye-scanning lie detector in this reality show where lies cost money, and truth and trust come with a juicy cash prize."
An American Murder Mystery: The Staircase,3,74,2018,['US'],en,"Novelist Michael Peterson and his wife Kathleen are the toast of Durham, North Carolina. But that all changes on December 9, 2001, when Kathleen is found dead in her home at the bottom of a staircase. Michael claims it was a tragic, accidental fall. But was she murdered? In this three-part series, we investigate the shocking details of the case through the people closest to it. We'll also reveal a 16-year-old secret and examine one of the most dramatic trials in recent history."
Anatomy of a Scandal,6,70,2022,"['US', 'GB']",en,Anthology series centering on the personal and political scandals of Britain’s elite.
Magical Andes,10,78,2019,['DE'],es,
Angelina Ballerina: The Next Steps,81,40,2009,['GB'],en,"Join Angelina Ballerina as she finds her way in her new school, puts together her own show and tries to land a leading role in the Mouskinov Ballet. Prepare to pirouette along with everyone's favorite ballerina in these sparkling stories!"
Angry Birds: Summer Madness,33,58,2022,['US'],en,"Teen birds Red, Chuck, Bomb and Stella are crashing through Camp Splinterwood with their fellow feathered campers for a summer of high-flying hijinks!"
Animal,8,79,2021,"['US', 'BR']",en,"This immersive series follows the world's most magnificent creatures, capturing never-before-seen moments from the heartwarming to the outrageous."
Anitta: Made in Honório,6,69,2020,[],pt,
